id,text
1,a e i o u
2,a e i o u
3,a e i o u
4,a e i o u
5,a e i o u
6,a e i o u
7,a e i o u
8,a e i o u
9,a e i o u
10,a e i o u
11,a e i o u
12,a e i o u
13,a e i o u
14,a e i o u
15,a e i o u
16,a e i o u
17,a e i o u
18,a e i o u
19,a e i o u
20,a e i o u
21,a e i o u
22,a e i o u
23,a e i o u
24,a e i o u
25,a e i o u
26,a e i o u
27,a e i o u
28,a e i o u
29,a e i o u
30,a e i o u
31,a e i o u
32,a e i o u
33,a e i o u
34,a e i o u
35,a e i o u
36,a e i o u
37,a e i o u
38,a e i o u
39,a e i o u
40,a e i o u
41,a e i o u
42,a e i o u
43,a e i o u
44,a e i o u
45,a e i o u
46,a e i o u
47,a e i o u
48,a e i o u
49,a e i o u
50,a e i o u
51,a e i o u
52,a e i o u
53,a e i o u
54,a e i o u
55,a e i o u
56,a e i o u
57,a e i o u
58,a e i o u
59,a e i o u
60,a e i o u
61,a e i o u
62,a e i o u
63,a e i o u
64,a e i o u
65,a e i o u
66,a e i o u
67,a e i o u
68,a e i o u
69,a e i o u
70,a e i o u
71,a e i o u
72,a e i o u
73,a e i o u
74,a e i o u
75,a e i o u
76,a e i o u
77,a e i o u
78,a e i o u
79,a e i o u
80,a e i o u
81,a e i o u
82,a e i o u
83,a e i o u
84,a e i o u
85,a e i o u
86,a e i o u
87,a e i o u
88,a e i o u
89,a e i o u
90,a e i o u
91,a e i o u
92,a e i o u
93,a e i o u
94,a e i o u
95,a e i o u
96,a e i o u
97,a e i o u
98,a e i o u
99,a e i o u
100,a e i o u
101,a e i o u
102,a e i o u
103,a e i o u
104,a e i o u
105,a e i o u
106,a e i o u
107,a e i o u
108,a e i o u
109,a e i o u
110,a e i o u
111,a e i o u
112,a e i o u
113,a e i o u
114,a e i o u
115,a e i o u
116,a e i o u
117,a e i o u
118,a e i o u
119,a e i o u
120,a e i o u
121,a e i o u
122,a e i o u
123,a e i o u
124,a e i o u
125,a e i o u
126,a e i o u
127,a e i o u
128,a e i o u
129,a e i o u
130,a e i o u
131,a e i o u
132,a e i o u
133,a e i o u
134,a e i o u
135,a e i o u
136,a e i o u
137,a e i o u
138,a e i o u
139,a e i o u
140,a e i o u
141,a e i o u
142,a e i o u
143,a e i o u
144,a e i o u
145,a e i o u
146,a e i o u
147,a e i o u
148,a e i o u
149,a e i o u
150,a e i o u
151,a e i o u
152,a e i o u
153,a e i o u
154,a e i o u
155,a e i o u
156,a e i o u
157,a e i o u
158,a e i o u
159,a e i o u
160,a e i o u
161,a e i o u
162,a e i o u
163,a e i o u
164,a e i o u
165,a e i o u
166,a e i o u
167,a e i o u
168,a e i o u
169,a e i o u
170,a e i o u
171,a e i o u
172,a e i o u
173,a e i o u
174,a e i o u
175,a e i o u
176,a e i o u
177,a e i o u
178,a e i o u
179,a e i o u
180,a e i o u
181,a e i o u
182,a e i o u
183,a e i o u
184,a e i o u
185,a e i o u
186,a e i o u
187,a e i o u
188,a e i o u
189,a e i o u
190,a e i o u
191,a e i o u
192,a e i o u
193,a e i o u
194,a e i o u
195,a e i o u
196,a e i o u
197,a e i o u
198,a e i o u
199,a e i o u
200,a e i o u
201,a e i o u
202,a e i o u
203,a e i o u
204,a e i o u
205,a e i o u
206,a e i o u
207,a e i o u
208,a e i o u
209,a e i o u
210,a e i o u
211,a e i o u
212,a e i o u
213,a e i o u
214,a e i o u
215,a e i o u
216,a e i o u
217,a e i o u
218,a e i o u
219,a e i o u
220,a e i o u
221,a e i o u
222,a e i o u
223,a e i o u
224,a e i o u
225,a e i o u
226,a e i o u
227,a e i o u
228,a e i o u
229,a e i o u
230,a e i o u
231,a e i o u
232,a e i o u
233,a e i o u
234,a e i o u
235,a e i o u
236,a e i o u
237,a e i o u
238,a e i o u
239,a e i o u
240,a e i o u
241,a e i o u
242,a e i o u
243,a e i o u
244,a e i o u
245,a e i o u
246,a e i o u
247,a e i o u
248,a e i o u
249,a e i o u
250,a e i o u
251,a e i o u
252,a e i o u
253,a e i o u
254,a e i o u
255,a e i o u
256,a e i o u
257,a e i o u
258,a e i o u
259,a e i o u
260,a e i o u
261,a e i o u
262,a e i o u
263,a e i o u
264,a e i o u
265,a e i o u
266,a e i o u
267,a e i o u
268,a e i o u
269,a e i o u
270,a e i o u
271,a e i o u
272,a e i o u
273,a e i o u
274,a e i o u
275,a e i o u
276,a e i o u
277,a e i o u
278,a e i o u
279,a e i o u
280,a e i o u
281,a e i o u
282,a e i o u
283,a e i o u
284,a e i o u
285,a e i o u
286,a e i o u
287,a e i o u
288,a e i o u
289,a e i o u
290,a e i o u
291,a e i o u
292,a e i o u
293,a e i o u
294,a e i o u
295,a e i o u
296,a e i o u
297,a e i o u
298,a e i o u
299,a e i o u
300,a e i o u
301,a e i o u
302,a e i o u
303,a e i o u
304,a e i o u
305,a e i o u
306,a e i o u
307,a e i o u
308,a e i o u
309,a e i o u
310,a e i o u
311,a e i o u
312,a e i o u
313,a e i o u
314,a e i o u
315,a e i o u
316,a e i o u
317,a e i o u
318,a e i o u
319,a e i o u
320,a e i o u
321,a e i o u
322,a e i o u
323,a e i o u
324,a e i o u
325,a e i o u
326,a e i o u
327,a e i o u
328,a e i o u
329,a e i o u
330,a e i o u
331,a e i o u
332,a e i o u
333,a e i o u
334,a e i o u
335,a e i o u
336,a e i o u
337,a e i o u
338,a e i o u
339,a e i o u
340,a e i o u
341,a e i o u
342,a e i o u
343,a e i o u
344,a e i o u
345,a e i o u
346,a e i o u
